legalName,website,city,state,zipCode,apartmentOrSuite,streetNumber,streetOrRoad,country,linkedInPage,aum,fundOrSyndication,assetClass,irr,coc,equityMultiple,fees,holdPeriod,exemption
Neurocrine Biosciences,neurocrine.com,,,,,,,Canada,,,Syndication,Healthcare,,,,,,
OrbVest,orbvest.com,,,,,,,Seychelles,linkedin.com/company/orbvest,,Syndication,Healthcare,,,,,,
Rendina Healthcare Real Estate,rendina.com,Jupiter,Florida,33458,,661,University Boulevard,United States,linkedin.com/company/rendina-companies,,Syndication,Healthcare,,,,,,
Ridgeline Capital Partners,ridgelinecp.com,Dallas,Texas,,,,,United States,https://www.linkedin.com/company/ridgeline-capital-partners/,,Syndication,Healthcare,,,,,,
2GR Equity,2grequity.com,Grapevine,Texas,76051,,342,South Main Street,United States,linkedin.com/company/2gr-equity-llc,600000000,Syndication,"Healthcare, Hospitality, Storage",,,,,,
Crescent Growth Capital,crescentgrowthcapital.com,New Orleans,Louisiana,70170,,,Saint Charles Avenue,United States,linkedin.com/company/crescent-growth-capital-llc,,Syndication,"Healthcare, Hotels, Retail, Commercial, Mixed Use",,,,,,
Paycor,paycor.com,Norwood,Ohio,45212,,4811,Montgomery Road,United States,linkedin.com/company/paycor,,Syndication,"Healthcare, Manufacturing, Retail",,,,,,
New ERA Partners,neweraptrs.com,Colleyville,Texas,76034,,,,United States,,,Syndication,"Healthcare, Multifamily",,,,,,
AI Fund,aifund.ai,Chagrin Falls,Ohio,44022,,,,United States,linkedin.com/company/aifund,,Fund,"Healthcare, Next Generation Enterprise",,,,,,
Layton Construction,laytonconstruction.com,Sandy,Utah,84070,,9090,Sandy Parkway,United States,linkedin.com/company/layton-construction,,,"Healthcare, Warehouse, Hospitality",,,,,,
BLVD Hospitality,blvdhospitality.com,,,,,,,,linkedin.com/company/blvd-hospitality,,Syndication,Hospitality,,,,,,
Dolphin Capital Partners,dolphincp.com,,,,,,,,,,,Hospitality,,,,,,
DoveHill Capital Management,dovehillcos.com,,,,,,,Canada,,,Syndication,Hospitality,,,,,,
Driftwood,driftwoodhospitality.com,,,,,,,,linkedin.com/company/driftwood-hospitality-management,,Fund,Hospitality,,,,,,
Ephant Group,ephantgroup.com,Knoxville,Tennessee,37912,,5335,Central Avenue Pike,United States,linkedin.com/company/the-ephant-group,,Syndication,Hospitality,,,,,,
Presidio Companies,presidioco.com,,,,,,,,,,Syndication,Hospitality,,,,,,
Range Developments,rangedevelopments.com,,,,,,,,,,Syndication,Hospitality,,,,,,
Nolan Reynolds International,nrinternational.com,,,,,,,,linkedin.com/company/nolanreynoldsinternational,,Syndication,"Hospitality, Commercial, Management",,,,,,
Provident Realty Advisors,providentrealty.net,Dallas,Texas,,,,,United States,,,Syndication,"Hospitality, Industrial, Multifamily, Storage",,,,,,
Wheelock Street Capital,wheelockst.com,Greenwich,Connecticut,,,,,United States,,5800000000,Syndication,"Hospitality, Industrial, Residential land, Retail and Office",,,,,,
Driftwood Capital,driftwoodcapital.com,Coral Gables,Florida,33134,,255,Alhambra Circle,United States,linkedin.com/company/driftwoodcptl,3000000000,Syndication,"Hospitality, Mixed Use",,,,,,
BestGen,bestgen.com,Rapid City,South Dakota,57701,,520,Kansas City Street,United States,linkedin.com/company/bestgenmodular,,Syndication,"Hospitality, Multifamily",,,,,,
Barone Management,baronemanagement.com,,,,,,,,,,,"Hospitality, Multifamily, Office, Industrial",,,,,,
InSite Group,insiteus.com,,,,,,,,linkedin.com/company/insite-group-us,650000000,Syndication,"Hospitality, Residential, Mixed Use",,,,,,
TGC Group,tgcgroup.net,Wichita,Kansas,67202,,322s,South Mosley Street,United States,linkedin.com/company/tgc-development-group,,Syndication,"Hospitality, Multifamily",,,,,,
LCP Group,lcpgroup.com,,,,,,,,linkedin.com/company/lcp-group,,,"Hotel, Multifamily",,,,,,
