legalName,website,city,state,zipCode,apartmentOrSuite,streetNumber,streetOrRoad,country,linkedInPage,aum,fundOrSyndication,assetClass,irr,coc,equityMultiple,fees,holdPeriod,exemption
Parsons Fund,parsonsvillas.com,,,,,,,,,,Syndication,Vacation Rentals,,,,,,
Jali,jali.co,,,,,,,,linkedin.com/company/jali-investments,1400000000,Syndication,"Witness Investments, Hotel Equities",,,,,,
Compass Capital Partners,compass-cap.com,,,,,,,,linkedin.com/company/compass-capital-for-financial-investments,,,,,,,,,
Frostfire Capital,frostfirecapital.com,,,,,,,,linkedin.com/company/frostfirecapital,,,,,,,,,
Mundy Mill Partners,  ,,,,,,,,,,,,,,,,,
Symphony Asset Management,  ,,,,,,,,,,,,,,,,,
1031 Crowdfunding,1031crowdfunding.com,Irvine,California,,,,,United States,linkedin.com/company/1031-crowdfunding-llc,,,,,,,,,
3650 REIT,3650reit.com,,,,,,,,linkedin.com/company/3650reit,,,,,,,,,
Fifth Third Bank,53.com,Cincinnati,Ohio,45202,,511,Walnut Street,United States,linkedin.com/company/fifth-third-bank,,,,,,,,,
601W Companies,601wcompanies.com,,,,,,,,linkedin.com/company/601-west-management-corp,7000000000,Syndication,,,,,,,
Acram Group,acramgroup.com,,,,,,,,linkedin.com/company/the-acram-group/,,,,,,,,,
AcreTrader,acretrader.com,Fayetteville,Arkansas,72701,,112,West Center Street,United States,linkedin.com/company/acre-trader,,,,,,,,,
Acushnet,acushnetgolf.com,Fairhaven,Massachusetts,02719,,333,Bridge Street,United States,linkedin.com/company/acushnet-company,,,,,,,,,
Adaptive Realty,adaptiverealty.com,Los Angeles,California,,,,,United States,linkedin.com/company/adaptive-realty-inc,100000000,,,,,,,,
Adler Group,adlergroup.com,,,,,,,,linkedin.com/company/adler-group,,,,,,,,,
Ad Meliora,admeliorallc.com,Boston,Massachusetts,,,,,United States,linkedin.com/company/admeliorallc,200000000,Syndication,,,,,,,
AECOM,aecom.com,Los Angeles,California,90067,,1999,Avenue of the Stars,United States,linkedin.com/company/aecom,,,,,,,,,
Agman Partners,agmanpartners.com,Chicago,Illinois,60611,,10,East Ohio Street,United States,linkedin.com/company/agman-partners,,,,,,,,,
ALG Holdings,algholdings.co,,Texas,,,,,United States,linkedin.com/company/alg-holdings,,,,,,,,,
The Allen Morris Company,allenmorris.com,,,,,,,,linkedin.com/company/the-allen-morris-company,,,,,,,,,
Alliance Advisory & Securities,allianceadvisory.com,,,,,,,,linkedin.com/company/alliance-advisory-&-securities-inc-,,,,,,,,,
Alliance Financial Group,alliancefgi.com,Dallas,Texas,75230,910,12720,Hillcrest Road,United States,linkedin.com/company/alliance-financial-group-inc.,,,,,,,,,
Alliant Capital,alliantcapital.com,Calabasas,California,,,,,United States,linkedin.com/company/alliant-asset-management,17000000000,Syndication,,,,,,,
Alphatech Lending,alphatechlending.com,,,,,,,,linkedin.com/company/alphatechlending,,,,,,,,,
Alternative Funding Group,altfunding.com,Fort Lauderdale,Florida,33309,,1000,Northwest 65th Street,United States,linkedin.com/company/altfunding,,,,,,,,,
Alvani Capital,alvanicapital.com,Fort Myers,Florida,33908,,14250,Royal Harbour Court,United States,https://www.linkedin.com/company/alvani-llc/,,,,,,,,,
JLL,am.jll.com,,,,,,,Canada,linkedin.com/company/jll,,,,,,,,,
Appaloosa Real Estate Partners,appaloosarep.com,Charlotte,North Carolina,28209,,2820,Selwyn Avenue,United States,linkedin.com/company/appaloosa-real-estate-partners-llc,,,,,,,,,
Applesway Investment Group,appleswaygroup.com,,,,,,,,linkedin.com/company/applesway-investment-group,,,,,,,,,
Capital Real Estate,http://www.capitalrealestateusa.com/,Denver,Colorado,,,,,United States,linkedin.com/company/cre-usa,,,,,,,,,
Ark7,ark7.com,San Francisco,California,94105,,535,Mission Street,United States,https://www.linkedin.com/company/ark7official/,,Syndication,,,,,,,
Arrows Capital Group,arrowscapitalgroup.com,,,,,,,,linkedin.com/company/arrows-capital-group,,,,,,,,,
Asset Quest,assetquest.com,Cape Coral,Florida,33991,,2180,Southwest 1st Street,United States,linkedin.com/company/asset-quest,,,,,,,,,
Asymmetria Group,asymmetriagroup.com,,,,,,,,,,,,,,,,,
The Athens Group,athensdevco.com,Phoenix,Arizona,85016,,2200,East Camelback Road,United States,linkedin.com/company/the-athens-group,,,,,,,,,
Athian,athian.com,San Francisco,California,,,,,United States,https://www.linkedin.com/company/athian/,,,,,,,,,
Authenus,authenus.com,,,,,,,,linkedin.com/company/authenus,,,,,,,,,
Parking Vault,autoparkingvault.com,,,,,,,,,,,,,,,,,
Avanti Residential,avantiresidential.com,Denver,Colorado,80210,,1700,South Broadway,United States,linkedin.com/company/avantiresidential,,,,,,,,,
Avestor,avestorinc.com,Portland,Oregon,,,,,United States,linkedin.com/company/avestor-inc,,Fund,,,,,,,
Ballast Investments,ballastinvestments.com,San Francisco,California,94104,,351,California Street,United States,linkedin.com/company/ballast-investments,,,,,,,,,
Banyan Street Capital,banyanstreet.com,Miami,Florida,33130,,80,Southwest 8th Street,United States,linkedin.com/company/banyan-street-capital,,,,,,,,,
Guidon Fund,battlemonument.com,,,,,,,,,,Fund,,,,,,,
Baxon Capital,baxoncapital.com,Fort Myers,Florida,33901,,2180,West First Street,United States,linkedin.com/company/baxon-capital,,,,,,,,,
BBB TANK SERVICES,bbbtankservices.com,Baytown,Texas,77520,,162,Independence Parkway North,United States,linkedin.com/company/bbb-tank-services-inc.,,,,,,,,,
Bellavista Building Group,bellavistabuilding.com,,,,,,,,,,,,,,,,,
Belrose Asset Management,belroseam.com,Wayne,Pennsylvania,19087,,351,East Conestoga Road,United States,linkedin.com/company/belrose-asset-management-llc,,,,,,,,,
Best REI Funding,bestreifunding.com,,,,,,,,,,,,,,,,,
Beyond International Group,beyond-wm.com,Irvine,California,,,,,United States,,,,,,,,,,
The Nest Opportunity Fund,bhadvisory.com,Dublin,Ohio,,,,,United States,,,,,,,,,,
First Position Capital,biathloninvestments.com,Portland,Oregon,,,,,United States,,,,,,,,,,
Blackfish Investments,blackfishinvestments.com,Provo,Utah,84604,,1502,North Freedom Boulevard,United States,linkedin.com/company/blackfish-investments,,,,,,,,,
Block Real Estate Services,blockllc.com,Kansas City,Missouri,64112,,700,West 47th Street,United States,linkedin.com/company/block-real-estate-services,,Fund,,,,,,,
The Blueaura Group,blueauragroup.com,Knoxville,Tennessee,37919,,4315,Kingston Pike,United States,linkedin.com/company/blueauragroup,,Fund,,,,,,,
Bluefin Real Estate Advisors,bluefinrea.com,,,,,,,,linkedin.com/company/bluefin-real-estate-advisors,,,,,,,,,
BOCA Plus,bocaplus.com,Tahoe City,California,,,,,United States,linkedin.com/company/boca-plus,,Fund,,,,,,,
Boston Pads,bostonpads.com,Boston,Massachusetts,02134,,1243,Commonwealth Avenue,United States,linkedin.com/company/boston-pads,,,,,,,,,
BPM Senior Living,bpmsl.com,Portland,Oregon,97209,,1331,Northwest Lovejoy Street,United States,linkedin.com/company/bpm-senior-living-company,,,,,,,,,
BridgeTower Capital,bridgetowercapital.com,Boise,Idaho,83702,,3003,West Main Street,United States,linkedin.com/company/bridgetowercapital,,,,,,,,,
Bridgeview Real Estate,bridgeviewre.com,Dallas,Texas,75225,,8117,Preston Road,United States,linkedin.com/company/bridgeview-real-estate,,,,,,,,,
Cadman Capital Group,btinternet.com,,,,,,,Canada,,,,,,,,,,
Builders Capital,builderscapital.com,Puyallup,Washington,98374,,1019,39th Avenue Southeast,United States,linkedin.com/company/builders-capital,,,,,,,,,
Owners Club West Coast,calbaptist.edu,,,,,,,,,,,,,,,,,
Capstone Development,capstonempmail.com,,,,,,,,,,,,,,,,,
Capstone Realty Group,capstonerealtygroupusa.com,,,,,,,,,,,,,,,,,
Cardinal Capital Management,cardinalcapital.us,Raleigh,North Carolina,27608,,2626,Glenwood Avenue,United States,,,,,,,,,,
Carolina Capital Management,carolinahardmoney.com,,,,,,,,,,,,,,,,,
Cascadia Senior Living & Development,cascadiadevelopment.com,,,,,,,,,,,,,,,,,
Asym Capital,asymcapital.com,West Hollywood,California,,,,,United States,,,,,,,,,,
Castellan Capital,castellancapital.com,New York,New York,,,,,United States,linkedin.com/company/castellan-capital,,,,,,,,,
Castellan Real Estate Partners,castellanre.com,New York,New York,10168,,122,East 42nd Street,United States,linkedin.com/company/castellan-real-estate-partners,,,,,,,,,
Central Coast Brewing,centralcoastbrewing.com,San Luis Obispo,California,93401,,1422,Monterey Street,United States,linkedin.com/company/central-coast-brewing,,,,,,,,,
Stone Capital,centraliens.net,,,,,,,,,,,,,,,,,
Avalon Capital Partners,chatfieldesq.com,,,,,,,,,,,,,,,,,
Community Housing Network,chninc.org,,,,,,,Canada,,,,,,,,,,
Christina Development Corporation,christinala.com,,,,,,,,,,,,,,,,,
CINSociety,cinsociety.com,,,,,,,,,,,,,,,,,
Cloud Mellow,cloudmellow.com,,,,,,,,,,,,,,,,,
CMB Regional Centers,cmbeb5visa.com,,,,,,,,linkedin.com/company/cmbregionalcenters,,,,,,,,,
Miotti Partners Capital,miottipartnerscapital.com,,,,,,,,linkedin.com/company/miotti-partners-capital,,,,,,,,,
CNL Financial Group,cnl.com,Orlando,Florida,32801,,450,South Orange Avenue,United States,linkedin.com/company/cnl,,,,,,,,,
Collective Management,collectivemanagement.tv,,,,,,,,,,,,,,,,,
Carpathian Capital Management,carpathiancapital.com,,,,,,,,,1500000000,Fund or Syndication,,,,,,,
Comfort Communities,comfortcommunities.com,Tucson,Arizona,85705,,38,West Prince Road,United States,linkedin.com/company/comfort-communities,,,,,,,,,
Compounding Capital Holdings,compoundingcapital.holdings,West Des Moines,Iowa,,,,,United States,linkedin.com/company/compounding-capital-holdings,,,,,,,,,
CompQsoft Inc,compqsoft.com,,,,,,,,linkedin.com/company/compqsoft-inc,,,,,,,,,
Convox,convox.com,Miami,Florida,33137,,4300,Biscayne Boulevard,United States,linkedin.com/company/convox,,,,,,,,,
The Corcoran Group,corcoran.com,New York,New York,10065,,660,Madison Avenue,United States,linkedin.com/company/the-corcoran-group,,,,,,,,,
Sherpa Commercial,cresherpa.com,Parshall,Colorado,80468,,422,Iron Horse Way,United States,linkedin.com/company/sherpa-commercial-real-estate,,,,,,,,,
Cross Properties,crossprop.com,,,,,,,,,,,,,,,,,
DB Capital,dbcap.com,,,,,,,,linkedin.com/company/dbcapitalmanagement,,,,,,,,,
Defy Co.Labs,defycolabs.com,,,,,,,Canada,linkedin.com/company/defy-colabs,,,,,,,,,
Diversified Foods,diversifiedfoods.com,,,,,,,,,,,,,,,,,
Moonhole Company Limited,dixiebeer.com,,,,,,,Canada,,,,,,,,,,
D.O. Capital Group,docapitalgroup.com,,,,,,,,,,,,,,,,,
Resource Realty Group,resourcecolumbia.com,,,,,,,,,,,,,,,,,
East Harlem Tutorial Program,ehtp.org,New York,New York,10029,,2050,2nd Avenue,United States,linkedin.com/company/east-harlem-tutorial-program,,,,,,,,,
"Epoch Investment Partners, Inc.",eipny.com,,,,,,,Canada,,,,,,,,,,
Vantage Management,thevantagegroup.biz,,,,,,,,,,,,,,,,,
Enterprise Community Partners,enterprisecommunity.org,Columbia,Maryland,21044,,11000,Broken Land Parkway,United States,linkedin.com/company/enterprise-community-partners,,,,,,,,,
Entrepreneurs Organization - Minnesota,eonetwork.org,Alexandria,Virginia,,,,,United States,https://www.linkedin.com/company/entrepreneursorg/,,,,,,,,,
Everwood Hospitality Partners,everwoodhp.com,Carmel,Indiana,,,,,United States,linkedin.com/company/everwoodhp,,,,,,,,,
eXp Commercial,expcommercial.com,Bellingham,Washington,,,,,United States,linkedin.com/company/exp-commercial,,,,,,,,,
eXp Realty,exprealty.com,Bellingham,Washington,98226,Suite 301,2219,Rimland Drive,United States,https://www.linkedin.com/company/exp-realty/,,,,,,,,,
Fairchild Acquisition,fairchildgroupllc.com,,,,,,,,,,,,,,,,,
Family Office Club,familyoffices.com,,,,,,,,,,,,,,,,,
Fidus Capital,fdus.com,Evanston,Illinois,60201,,1603,Orrington Avenue,United States,linkedin.com/company/fidus-capital,,,,,,,,,
Fidus Investment Corporation,fidusinv.com,,,,,,,,,,,,,,,,,
Fiola Communities,fiolacommunities.com,Anaheim,California,92805,,200,North Harbor Boulevard,United States,linkedin.com/company/fiolacommunities,,,,,,,,,
First Choice Capital,firstchoicecapital.com,,,,,,,Canada,linkedin.com/company/first-choice-capital-llc,,,,,,,,,
Fisher Bay,fisherbay.com,Chattanooga,Tennessee,37408,,1830,Washington Street,United States,linkedin.com/company/fisherbay,,,,,,,,,
Fisher Global Development,fishergloballlc.com,,,,,,,,,,,,,,,,,
FLORIDA AIR EXPRESS AIRLINES Inc.,floridaairexpress.com,,,,,,,Canada,,,,,,,,,,
Fortis Companies,fortisinc.com,St. Johns,Newfoundland and Labrador,A1E 0E4,,5,Springdale Street,Canada,https://www.linkedin.com/company/fortis-inc./?originalSubdomain=ca,,,,,,,,,
Foundry Commercial,foundrycommercial.com,,,,,,,,,,,,,,,,,
Four Peaks Capital Partners,fourpeakspartners.com,,Arizona,,,,,United States,linkedin.com/company/four-peaks-capital-partners,,,,,,,,,
Freaky Fast Home Buyers,freakyfastinvestments.com,Fort Worth,Texas,76114,,105,Nursery Lane,United States,,,,,,,,,,
Freedom Family Office,freedomfamilyoffice.com,,,,,,,Canada,linkedin.com/company/freedom-family-office,,,,,,,,,
Georgia Tech,gatech.edu,Atlanta,Georgia,30332,,,North Avenue Northwest,United States,linkedin.com/school/georgia-institute-of-technology,,,,,,,,,
Game Change Capital,gccapital.us,,,,,,,,,,,,,,,,,
Ginkgo Residential,ginkgores.com,Charlotte,North Carolina,28202,,200,South College Street,United States,linkedin.com/company/ginkgo-residential,,,,,,,,,
Sustainable Comfort,greenrater.com,Worcester,Massachusetts,01608,,146,Main Street,United States,linkedin.com/company/sustainable-comfort-inc-,,,,,,,,,
Green Residential,greenresidential.com,,,,,,,,,,,,,,,,,
Green Street Realty,greenstrealty.com,Champaign,Illinois,61820,,510,South Neil Street,United States,linkedin.com/company/greenstreetrealty,,,,,,,,,
Greenwing Companies,greenwingpdx.com,,,,,,,Canada,,,,,,,,,,
Greystar,greystar.com,Charleston,South Carolina,29401,,18,Broad Street,United States,linkedin.com/company/greystar,,,,,,,,,
Grupo Chomer,grupochomer.com,Buenos Aires,Buenos Aires,,,5478,Avenida del Libertador,Argentina,linkedin.com/company/grupo-chomer,,,,,,,,,
Hatley Law Group,hatleylawgroup.com,San Diego,California,92130,,12636,High Bluff Drive,United States,linkedin.com/company/hatley-law-group-a.p.c.,,,,,,,,,
HaydenTanner,haydentanner.com,,,,,,,,linkedin.com/in/molly-mccabe-5549474,,,,,,,,,
Herbert Legal Group,herbertlegalgroup.com,Roswell,Georgia,30076,,1402,Macy Drive,United States,linkedin.com/company/herbert-legal-group-llc,,,,,,,,,
Hiatus Homes,hiatushomes.com,Bend,Oregon,,,,,United States,linkedin.com/company/hiatus-homes,,Syndication,,,,,,,
Highland Blasting & Associates,highlandblasting.com,Kodak,Tennessee,37764,,,,United States,,,,,,,,,,
Highlands Residential,highlandsresidential.com,Atlanta,Georgia,30309,,1777,Peachtree Street Northeast,United States,linkedin.com/company/highlandsresidential,,,,,,,,,
Honokea Surf Villages & Resorts,honokea.com,Kailua,Hawaii,,,,,United States,,,Fund,,,,,,,
Vincent Companies,vincentcompaniesmn.com,,,,,,,,linkedin.com/company/vincent-companies,,,,,,,,,
Hughes Private Capital,hughescapital.com,Reno,Nevada,89511,,5440,Louie Lane,United States,linkedin.com/company/hughes-private-capital,,,,,,,,,
Flow Property Group,flowpg.com,,,,,,,,,,,,,,,,,
iCap Equity,icapequity.com,Bellevue,Washington,98006,,3535,Factoria Boulevard Southeast,United States,linkedin.com/company/icap-equity-llc,,,,,,,,,
iCross Fund Inc./ iCross Capital,icrossfund.com,,,,,,,,,,,,,,,,,
iintoo,iintoo.com,,,,,,,,linkedin.com/company/iintoo,3360000000,Syndication,,,,,,,
"Trunorth Capital Management, LLC",trunorthcapital.com,,,,,,,,linkedin.com/company/trunorth-capital-management-llc,,,,,,,,,
Internacional,internacionalrealty.com,San Antonio,Texas,78215,,2251,Broadway,United States,linkedin.com/company/internacional-realty,,,,,,,,,
212 Management Group,invest212.com,Friendswood,Texas,,,,,United States,,,Syndication,,,,,,,
Invest In Kona,investinkona.com,Beverly Hills,California,90211,,,,United States,linkedin.com/company/kona-development-partners-llc,,Fund,,,,,,,
Carbon Real Estate Investments,investwithcarbon.com,Miami,Florida,33127,,218,Northwest 24th Street,United States,https://www.linkedin.com/company/carbon-real-estate-investments/,,,,,,,,,
IVY Capital,ivycapital.com,,Shang Hai Shi,,,,Fang Dian Lu,China,https://www.linkedin.com/company/ivy-capital/,,Fund,,,,,,,
Janus Henderson Investors,janushenderson.com,,England,EC2M 3UN,,201,Bishopsgate,United Kingdom,linkedin.com/company/janus-henderson-investors,,,,,,,,,
JDS Development Group,jdsdevelopment.com,New York,New York,10011,,104,5th Avenue,United States,linkedin.com/company/jds-development-group,,,,,,,,,
Jennkins Home Builders,jenkinshomeservices.com,River Falls,Wisconsin,54022,,265,Mound View Road,United States,linkedin.com/company/jenkins-home-builders-inc,,,,,,,,,
Jenkins Property Management,jenkinspropertymanagement.com,,,,,,,,linkedin.com/company/jenkins-home-services,,,,,,,,,
JT Capital,jtcapitalgroup.com,Austin,Texas,,,,,United States,,,,,,,,,,
Invest with JT Foxx,jtfoxxorg.com,,,,,,,,,,,,,,,,,
Kaliser & Associates,kaliserlaw.com,,,,,,,,,,,,,,,,,
Vicon Holding & Investment Company,knoxhouses.com,,,,,,,,,,,,,,,,,
Kroh Exploration,krohexploration.com,Fort Worth,Texas,76109,,2714,Greene Avenue,United States,linkedin.com/company/krohexploration,,,,,,,,,
Labrador Lending,labradorlending.com,Cockeysville,Maryland,21030,,9805,York Road,United States,linkedin.com/company/labrador-lending,,,,,,,,,
Land Intelligence,landintelligence.net,,,,,,,Canada,https://www.linkedin.com/company/landsuitedeals/,,,,,,,,,
L&L Hospitality,landlhospitality.com,Portland,Oregon,,,,,United States,,,,,,,,,,
LEX,landwright.com,New York,New York,,,,,United States,,,,,,,,,,
Larson Financial Group,larsonfinancial.com,,,,,,,,,,,,,,,,,
Law Capital Partners,lawcapitalpartners.com,,,,,,,Canada,,,,,,,,,,
Cash Flow Capital,layovermoney.com,,,,,,,,,,,,,,,,,
Leander Equities,leandereq.com,,,,,,,,,,Syndication,,,,,,,
LEAP Charities.,leaphousing.org,Boise,Idaho,,,,,United States,linkedin.com/company/leap-housing,,Fund,,,,,,,
Legacy Wealth Holdings,legacywealthholdings.com,Rocky River,Ohio,44116,,13443,Detroit Road,United States,linkedin.com/company/legacy-wealth-holdings,,,,,,,,,
Shared Estates Asset Fund/ The Freeman Berkshires,lendsnap.com,Irving,Texas,,,,,United States,,,,,,,,,,
The Leumas Group,leumasgroup.com,,,,,,,,linkedin.com/company/leumasgroup,,,,,,,,,
LEX Markets,lex-markets.com,,,,,,,,,,,,,,,,,
LG Group,lg-group.com,Chicago,Illinois,60647,,2234,West North Avenue,United States,linkedin.com/company/lg-group-chicago,,,,,,,,,
Lifestyle Asset Group,lifestyleassetgroup.com,Fort Collins,Colorado,,,,,United States,linkedin.com/company/lifestyle-asset-group,,,,,,,,,
Lingerfelt,lingerfeltco.com,,,,,,,,,,,,,,,,,
Liquid Capital,liquidcapitalre.com,,,,,,,,,,,,,,,,,
The Maryland and Delaware Group of Long and Foster,longandfoster.com,,,,,,,Canada,linkedin.com/company/longandfosterco,,,,,,,,,
Lukrom LLC,lukrom.com,Phoenix,Arizona,85018,,4455,East Camelback Road,United States,https://www.linkedin.com/company/lukrom/,,Fund,,,,,,,
Madison Communities,livemadisoncommunities.com,,,,,,,Canada,,,,,,,,,,
FAB Homes,magozo.us,,,,,,,,,,,,,,,,,
Makad,makad.com,Vancouver,Washington,98660,,500,Broadway Street,United States,linkedin.com/company/makad-corp,,,,,,,,,
Manzo Freeman Development,manzofreeman.com,Hudson,Massachusetts,01749,,43,Broad Street,United States,linkedin.com/company/manzo-freeman-development,,,,,,,,,
Marble Partners,marblepartners.com,,,,,,,,,,,,,,,,,
Mariner Capital Advisors,marinercapitaladvisors.com,Overland Park,Kansas,,,,,United States,,,,,,,,,,
Arch to Philanthropy,archcharity.org,,,,,,,Canada,linkedin.com/company/arch-to-philanthropy,,,,,,,,,
Lionheart Ventures,mba2010.hbs.edu,,,,,,,Canada,,,,,,,,,,
MedCore Partners,medcorepartners.com,,,,,,,,linkedin.com/company/medcore-partners,,,,,,,,,
REI Nation,reination.com,Germantown,Tennessee,,,,,United States,,,,,,,,,,
Memphis Investment Properties,memphisinvestmentproperties.net,,,,,,,,,,,,,,,,,
Hope Housing Foundation,hopehousingfoundation.org,Dallas,Texas,,,,,United States,linkedin.com/company/hope-housing-foundation,,,,,,,,,
MeredithCPAs,meredithcpas.com,Irving,Texas,,,,,United States,linkedin.com/company/meredithcpas,,,,,,,,,
"Meyers, Roman, Friedberg & Lewis",meyersroman.com,Cleveland,Ohio,44122,,28601,Chagrin Boulevard,United States,linkedin.com/company/meyers-roman-friedberg-&-lewis-a-legal-professional-association,,,,,,,,,
MHC America Fund,mhcamericafund.com,Orlando,Florida,32801,,255,South Orange Avenue,United States,linkedin.com/company/mhc-america-fund-llc,,Fund,,,,,,,
Titanium Capital Investments,mikefritz.net,,,,,,,,,,,,,,,,,
Mill Creek Entertainment,millcreekent.com,,,,,,,,,,,,,,,,,
MAG Capital Partners,magcp.com,Fort Worth,Texas,76107,,1751,River Run,United States,linkedin.com/company/mag-capital-partners,,,,,,,,,
Mojave Energy Systems,mojavehvac.com,Palo Alto,California,94301,,438,Addison Avenue,United States,linkedin.com/company/mojave-energy-systems-inc,,,,,,,,,
Mommy Millionaire,mommymillionaire.co,Newport Beach,California,92660,,4,Cheshire Court,United States,linkedin.com/company/mommy-millionaire,,,,,,,,,
Mongo Holdings LLC,mongoholdings.com,,,,,,,,,,,,,,,,,
Morning Calm Management,morning-calm.com,West Palm Beach,Florida,33409,,1641,Worthington Road,United States,linkedin.com/company/morning-calm-management,,,,,,,,,
Morrison Investment Group,morrison-investments.com,,,,,,,,linkedin.com/company/morrison-investment-properties-inc,,,,,,,,,
Motto Mortgage,mottomortgage.com,,,,,,,,linkedin.com/company/motto-mortgage,,,,,,,,,
DJ & Lindsey Real Estate,moveto904.com,,,,,,,Canada,,,,,,,,,,
MRE Home Buyer,mrehomebuyer.com,,,,,,,,,,,,,,,,,
"The Donohoe Companies, Inc.",msn.com,,,,,,,,,,,,,,,,,
Equis Hotels,mullenixcos.com,,,,,,,Canada,,,,,,,,,,
Ascent Commercial Real Estate,myascentcre.com,Wilmington,Delaware,,,,,United States,,,,,,,,,,
Aspen Heights Partners,myaspenheights.com,,,,,,,,,,,,,,,,,
My Core Intentions,mycoreintentions.com,Chicago,Illinois,,,,,United States,linkedin.com/company/mycoreintentions,,,,,,,,,
National Asset Capital Group,nacapitalgroup.com,,,,,,,,,,,,,,,,,
Nexus Capital,ncapco.com,Pittsford,New York,14534,,,,United States,linkedin.com/company/ncapco,,,,,,,,,
New Castle Hotels & Resorts,newcastlehotels.com,,,,,,,,,,,,,,,,,
CBUS OZ Funds,cbusozfunds.com,,,,,,,,linkedin.com/company/cbusozfunds,,,,,,,,,
NewcrestImage,newcrestimage.com,Lewisville,Texas,75067,,700,State Highway 121,United States,linkedin.com/company/newcrestimage,,,,,,,,,
Purpose Founder,newreacheducation.com,,,,,,,Canada,,,,,,,,,,
NextGen Capital,nextgencap.com,,,,,,,,linkedin.com/company/nextgen-capital,,,,,,,,,
Calturas Capital,ngcip.com,,,,,,,,,,,,,,,,,
Nimble Capital Group,nimblecapitalgroup.com,,,,,,,,,50,Fund,,,,,,,
NITAAC,nitaac.nih.gov,,,,,,,,linkedin.com/company/nitaac,,,,,,,,,
Noble Capital,noblecapital.com,,,,,,,,,,,,,,,,,
Northgate Commercial,northgatecre.com,Stockton,California,95207,,4643,Quail Lakes Drive,United States,linkedin.com/company/northgate-commercial,,,,,,,,,
Northwest Apartments,northwestApartments.com,Washington,District of Columbia,,,,7th Street Northwest,United States,linkedin.com/company/northwest-Apartments,,,,,,,,,
Nova Asset Managment,novaassetmanagement.net,,,,,,,,,,,,,,,,,
Novak Brothers,novakbros.com,Georgetown,Texas,78628,,233,Adams Street,United States,linkedin.com/company/novak-brothers-companies,,,,,,,,,
EXPANSIVE,novelcoworking.com,,,,,,,,,,,,,,,,,
Nationwide Real Estate Executives,nreliving.com,,,,,,,,,,,,,,,,,
National Realty Investment Advisors,nria.net,Secaucus,New Jersey,,,,,United States,,,,,,,,,,
Birchstone Wealth Fund,nyms.net,,,,,,,,,,,,,,,,,
Obie Companies,"ofd.com, obie.com",,,,,,,,,,,,,,,,,
OneVillage Partners,onevillagepartners.org,Minneapolis,Minnesota,,,,,United States,linkedin.com/company/onevillage-partners,,,,,,,,,
Hall Sweeney Properties,hallsweeney.com,Minneapolis,Minnesota,,,,,United States,linkedin.com/company/hall-sweeney-properties-llc,,,,,,,,,
Opportunity Zone Development Group,opportunityzonedevelopmentgroup.com,Columbus,Ohio,43215,,1233,Dublin Road,United States,,,,,,,,,,
OZ Pros,ozpros.com,,,,,,,,,,,,,,,,,
Deuel International Group,pacbell.net,Del Mar,California,92014,,,,United States,,,,,,,,,,
Fidelis Private Fund,fidelispf.com,San Diego,California,,,,,United States,,,,,,,,,,
ParaWest Management,parawestmanagement.com,,,,,,,,,,,,,,,,,
Park Ave Capital,parkavecapital.com,,,,,,,,,,,,,,,,,
Park Street Partners,parkstreetpartners.com,Ladera Ranch,California,92694,,27762,Antonio Parkway,United States,linkedin.com/company/park-street-partners,,,,,,,,,
Park Avenue Partners Mobile Home Park Investing,parkstreetpartners.net,,,,,,,,,,,,,,,,,
"Passco Companies, LLC",passco.net,,,,,,,Canada,,,,,,,,,,
"Paul Montelongo Enterprises, Inc",paulmontelongo.com,,,,,,,,,,,,,,,,,
Prosperity Capital Partners,pcpre.net,,,,,,,Canada,linkedin.com/company/prosperitycapital-partners,,,,,,,,,
Easy Button Capital,pdxphx.com,,,,,,,,,,,,,,,,,
Three,peakerenergy.com,,,,,,,Canada,,,,,,,,,,
Peak Financing,peakfinancing.com,Dallas,Texas,,,,,United States,linkedin.com/company/peak-financing,,,,,,,,,
Pecan Creek Office Condominiums,pecancreekofficecondos.com,Fort Worth,Texas,,,,,United States,,,,,,,,,,
Peoples Company,peoplescompany.com,,,,,,,,,,,,,,,,,
People to Places Travel Concierge,peopletoplacestravel.com,,,,,,,,linkedin.com/company/people-to-places-travel-concierge-llc,,,,,,,,,
Polymath Legal,pepperdine.edu,,,,,,,,,,,,,,,,,
Phoenix Equity Group,phoenixeq.com,,,,,,,,,,,,,,,,,
Pivot,pivot-energy.com,Denver,Colorado,,,,,United States,linkedin.com/company/pivot-energy-solutions,,,,,,,,,
PNC Financial Services,pnc.com,,,,,,,,,,,,,,,,,
Polara Capital,polaracapital.com,Roswell,Georgia,30075,,408,South Atlanta Street,United States,linkedin.com/company/polara-capital,,,,,,,,,
Polaris Realty,polarisrealty.com,,,,,,,,,,,,,,,,,
Post Investment Group,postinvestmentgroup.com,,,,,,,,,,,,,,,,,
Power Capital Group,powercapitalgrp.com,Austin,Texas,,,,,United States,linkedin.com/company/powercapital,,,,,,,,,
The Praxis Center,praxis-center.com,,,,,,,,,,,,,,,,,
Premier Law Group,premierlawgroup.net,Fountain Hills,Arizona,85268,,,,United States,linkedin.com/company/premier-law-group,,,,,,,,,
Premium Law Group,premiumlawgroup.com,,,,,,,,,,,,,,,,,
Priam Capital,priam-capital.com,,,,,,,,,,,,,,,,,
